platform,signal_category,signal,source_api,grain,identity_granularity,cost_fidelity,retention,availability,notes
Azure AI Foundry,Tokens,Prompt tokens,APIM AI Gateway -> Log Analytics,Per request,Per user (Entra JWT),Billed (effective rate),Log Analytics 30-730d,REAL,Only path with per-user token attribution
Azure AI Foundry,Tokens,Completion tokens,APIM AI Gateway -> Log Analytics,Per request,Per user (Entra JWT),Billed (effective rate),Log Analytics 30-730d,REAL,
Azure AI Foundry,Tokens,Cached prompt tokens,APIM AI Gateway -> Log Analytics,Per request,Per user (Entra JWT),Billed (effective rate),Log Analytics 30-730d,REAL,Cache hit lowers cost - optimization signal
Azure AI Foundry,Identity,Entra OID / ClientId,APIM AI Gateway -> Log Analytics,Per request,Per principal,n/a,Log Analytics 30-730d,REAL,Distinguishes human vs service principal
Azure AI Foundry,Identity,Cost centre / BU claim,APIM AI Gateway -> Log Analytics,Per request,Per principal,n/a,Log Analytics 30-730d,REAL,cc:/bu: JWT claims -> chargeback
Azure AI Foundry,Performance,Latency ms,APIM AI Gateway -> Log Analytics,Per request,Per user,n/a,Log Analytics 30-730d,REAL,
Azure AI Foundry,Performance,Status code / IsError,APIM AI Gateway -> Log Analytics,Per request,Per user,n/a,Log Analytics 30-730d,REAL,
Azure AI Foundry,Model,Model name / version / region,APIM AI Gateway -> Log Analytics,Per request,Per user,n/a,Log Analytics 30-730d,REAL,
Azure OpenAI,Tokens,Processed/Generated tokens,Azure Monitor metrics,Per resource/deployment,NONE,Modelled,93 days,AVAILABLE,Azure Monitor has NO identity dimension
Azure OpenAI,Cost,Actual spend USD,Cost Management export,Per resource/day,NONE,Billed,MTD (replaces),AVAILABLE,Export replaces month-to-date - append downstream
Azure OpenAI,Throughput,PTU utilisation,Azure Monitor metrics,Per deployment,NONE,n/a,93 days,AVAILABLE,Provisioned throughput sizing signal
APIM AI Gateway,Governance,Subscription key / product,APIM diagnostics,Per request,Per app/product,n/a,Log Analytics,AVAILABLE,Policy enforcement point
APIM AI Gateway,Governance,Rate-limit / quota events,APIM policy logs,Per request,Per product,n/a,Log Analytics,AVAILABLE,Token-per-minute throttle telemetry
APIM AI Gateway,Optimization,Semantic cache hit,APIM policy logs,Per request,Per app,Billed savings,Log Analytics,AVAILABLE,GenAI gateway semantic caching
M365 Copilot,Usage,Per-app last activity date,Graph getMicrosoft365CopilotUsageUserDetail,Per user per app,Per user (UPN),n/a,180 days,MOCK,Needs Reports.Read.All + concealed-names OFF
M365 Copilot,Usage,Active users by app (Teams/Word/etc),Graph usage report,Per user per app,Per user,n/a,180 days,MOCK,No tokens - usage signal only
M365 Copilot,Licensing,Assigned seats,Graph subscribedSkus/assignedLicenses,Per user,Per user,Fixed (seat),Live,MOCK,Fixed cost - does not vary with usage
M365 Copilot,Governance,Interaction audit,Purview audit log,Per interaction,Per user,n/a,90-365 days,MOCK,Prompt/response governance
M365 Copilot,Cost,Seat cost USD,Contract / EA (manual),Per user/month,Per user,Billed,n/a,MOCK,No price API - dim_rate_card input
GitHub Copilot,Usage,Active/engaged users,REST /copilot/metrics,Org/team/day,Aggregate,n/a,28 days rolling,MOCK,Metrics API is aggregate not per-user
GitHub Copilot,Usage,Suggestions/acceptances by lang,REST /copilot/metrics,Org/team/day,Aggregate,n/a,28 days,MOCK,Acceptance rate = value signal
GitHub Copilot,Usage,Chat turns,REST /copilot/metrics,Org/team/day,Aggregate,n/a,28 days,MOCK,
GitHub Copilot,Licensing,Seat assignee / last activity,REST /copilot/billing/seats,Per seat,Per github_login,Fixed (seat),Live,MOCK,Idle-seat detection source
GitHub Copilot,Cost,Premium request netAmount USD,REST billing/usage,Per line item,Per login,Billed,Live,MOCK,Needs Enterprise Cloud + admin:enterprise PAT
GitHub Copilot,Identity,github_login -> Entra map,SCIM / manual,Per user,Per user,n/a,Live,MOCK,Required to join to dim_identity
Copilot Studio,Usage,AI event / credit consumed,Dataverse msdyn_aievent,Per event,Per environment,Billed (net),Dataverse,MOCK,msdyn_creditconsumed already net of zero-rating
Copilot Studio,Usage,Billing type / meter,Dataverse msdyn_aievent,Per event,Per environment,Billed,Dataverse,MOCK,Exclude bring-your-own-model to avoid double count
Copilot Studio,Capacity,Message/credit balance,Power Platform admin,Per environment,n/a,Billed,Live,MOCK,25k credit pack vs PAYG
Copilot Studio,Cost,Credit cost USD,Rate card (manual),Per credit,n/a,Modelled,n/a,MOCK,0.1/1.5/10 credits per 1k tokens by tier
Future - Azure AI Search,Optimization,Query/index vector usage,Azure Monitor,Per service,NONE,Modelled,93 days,ROADMAP,RAG grounding cost
Future - Bot/Agent Service,Usage,Agent invocation cost,Custom telemetry,Per invocation,Per agent,Varies,Custom,ROADMAP,Autonomous agent spend (no human)
