rate_key,platform,unit_type,model,unit_price_usd,effective_from,currency,source,note
Foundry|input_token|gpt-4.1-mini,Foundry,input_token,gpt-4.1-mini,4.0000000000000003e-07,2025-04-14,USD,REAL - ApimModelRate_CL,Replace with your PTU-blended or EA-discounted effective rate
Foundry|output_token|gpt-4.1-mini,Foundry,output_token,gpt-4.1-mini,1.6000000000000001e-06,2025-04-14,USD,REAL - ApimModelRate_CL,Replace with your PTU-blended or EA-discounted effective rate
Foundry|cached_token|gpt-4.1-mini,Foundry,cached_token,gpt-4.1-mini,1.0000000000000001e-07,2025-04-14,USD,REAL - ApimModelRate_CL,Replace with your PTU-blended or EA-discounted effective rate
Foundry|input_token|gpt-4.1,Foundry,input_token,gpt-4.1,2e-06,2025-04-14,USD,REAL - ApimModelRate_CL,Replace with your PTU-blended or EA-discounted effective rate
Foundry|output_token|gpt-4.1,Foundry,output_token,gpt-4.1,8e-06,2025-04-14,USD,REAL - ApimModelRate_CL,Replace with your PTU-blended or EA-discounted effective rate
Foundry|cached_token|gpt-4.1,Foundry,cached_token,gpt-4.1,5e-07,2025-04-14,USD,REAL - ApimModelRate_CL,Replace with your PTU-blended or EA-discounted effective rate
M365Copilot|seat_day|,M365Copilot,seat_day,,1.0,2026-01-01,USD,LIST PRICE,$30/user/mo enterprise annual commitment. Use your contract rate.
CopilotStudio|copilot_credit|,CopilotStudio,copilot_credit,,0.008,2026-01-01,USD,LIST PRICE,"25,000-credit pack $200/mo = $0.008. PAYG = $0.01."
GitHubCopilot|seat_day|,GitHubCopilot,seat_day,,1.3,2026-01-01,USD,LIST PRICE,Copilot Enterprise $39/user/mo. Use your volume tier.
GitHubCopilot|premium_request|,GitHubCopilot,premium_request,,0.04,2026-01-01,USD,LIST PRICE,Overage rate. Billed amount comes from netAmount when available.
M365Copilot|prompt|,M365Copilot,prompt,,0.0,2026-01-01,USD,N/A,M365 Copilot prompts are NOT billable. Usage signal only.
